Date,Adj Close
05/02/2019,2731
06/02/2019,2729.5
07/02/2019,2704
08/02/2019,2706.25
10/02/2019,null
11/02/2019,2708.25
12/02/2019,2744.75
13/02/2019,2749.5
14/02/2019,2743.5
15/02/2019,2777
17/02/2019,null
19/02/2019,2778.75
20/02/2019,2787
21/02/2019,2774.25
22/02/2019,2791.25
24/02/2019,null
25/02/2019,2797
26/02/2019,2791.5
27/02/2019,2795
28/02/2019,2784.75
01/03/2019,2805
03/03/2019,null
04/03/2019,2791.5
05/03/2019,2791.5
06/03/2019,2771.5
07/03/2019,2750
08/03/2019,2747
10/03/2019,null
11/03/2019,2784
12/03/2019,2792
13/03/2019,2814.5
14/03/2019,2807.25
15/03/2019,2811.889893
17/03/2019,null
18/03/2019,2840.5
19/03/2019,2836.5
20/03/2019,2827
21/03/2019,2862.5
22/03/2019,2810.75
24/03/2019,null
25/03/2019,2807
26/03/2019,2823
27/03/2019,2810.5
28/03/2019,2821
29/03/2019,2837.75
31/03/2019,null
01/04/2019,2870.5
02/04/2019,2867
03/04/2019,2879.75
04/04/2019,2882.75
05/04/2019,2896
07/04/2019,null
08/04/2019,2898.25
09/04/2019,2882.5
10/04/2019,2894.5
11/04/2019,2891.75
12/04/2019,2912.5
14/04/2019,null
15/04/2019,2909.5
16/04/2019,2911.5
17/04/2019,2900.5
18/04/2019,2910
21/04/2019,null
22/04/2019,2912.5
23/04/2019,2938
24/04/2019,2930.75
25/04/2019,2926.25
26/04/2019,2941.5
28/04/2019,null
29/04/2019,2943
30/04/2019,2948.5
01/05/2019,2923
02/05/2019,2917.5
03/05/2019,2947.5
05/05/2019,null
06/05/2019,2932.5
07/05/2019,2890.75
08/05/2019,2887.25
09/05/2019,2872.75
10/05/2019,2887
12/05/2019,null
13/05/2019,2807
14/05/2019,2839.25
15/05/2019,2855
16/05/2019,2878.5
17/05/2019,2862
19/05/2019,null
20/05/2019,2844
21/05/2019,2866
22/05/2019,2857.5
23/05/2019,2819.5
24/05/2019,2831.75
26/05/2019,null
28/05/2019,2805
29/05/2019,2780
30/05/2019,2790.5
31/05/2019,2752.5
02/06/2019,null
03/06/2019,2749.5
04/06/2019,2805
05/06/2019,2827.75
06/06/2019,2845.75
07/06/2019,2875
09/06/2019,null
10/06/2019,2889.25
11/06/2019,2887
12/06/2019,2881
13/06/2019,2894.5
14/06/2019,2890.5
16/06/2019,null
17/06/2019,2892
18/06/2019,2921.75
19/06/2019,2929
20/06/2019,2955.75
21/06/2019,2953.899902
23/06/2019,null
24/06/2019,2952
25/06/2019,2922
26/06/2019,2918
27/06/2019,2931
28/06/2019,2944.25
30/06/2019,2970.25
01/07/2019,2967.75
02/07/2019,2979.5
03/07/2019,null
05/07/2019,2990.5
07/07/2019,2989
08/07/2019,2978.5
09/07/2019,2982
10/07/2019,2997.5
11/07/2019,3004
12/07/2019,3015.5
14/07/2019,3013.5
15/07/2019,3017.25
16/07/2019,3007
17/07/2019,2985
18/07/2019,2997.5
19/07/2019,2977
21/07/2019,2979.5
22/07/2019,2989
23/07/2019,3008
24/07/2019,3021.5
25/07/2019,3006.5
26/07/2019,3024.5
28/07/2019,3023.5
29/07/2019,3021.75
30/07/2019,3012.25
31/07/2019,2982.25
